1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
29.52,29.17,28.78,27.41,29.77,29.17,30.01,29.38,28.65,28.78,29.64,28.61,27.08,31.59,29.03,28.25,28.63,28.93,27.63,27.68,29.58,28.06,30.97,28.12,29.99,27.87,30.33,29.73,28.33,30.48,29.35,28.21,29.99,28.54,28.92,30.21,28.41,27.69,29.2,27.84,30.04,30.1,29.47,29.57,28.83,29.49,27.75,30.28,28.79,29.19,29.87,28.09,29.91,29.98,31.47,28.7,30.4,31.7,30.8,30.27,29.86,30.51,32.59,28.560991287231445,29.61046600341797,32.92494583129883,31.33159828186035,31.70220375061035,29.6619815826416,29.600107192993164
28.41,29.05,28.4,27.32,28.87,29.05,29.55,30.26,28.09,26.52,30.4,27.59,27.16,32.13,28.9,28.66,28.18,28.59,28.99,28.55,28.87,28.56,30.13,28.24,29.83,28.2,29.83,30.83,29.54,30.78,28.93,28.0,31.4,27.8,26.21,29.67,28.08,28.0,28.96,29.15,29.85,29.04,29.68,29.28,29.18,29.66,27.69,30.02,28.51,29.21,28.81,28.71,29.54,30.63,31.3,28.44,30.2,31.08,29.97,29.69,29.83,31.66,32.87,29.15667152404785,30.395044326782227,32.695884704589844,31.250202178955078,31.258947372436523,30.35728645324707,28.787616729736328
28.04,28.85,29.11,27.3,28.76,28.85,29.05,30.18,28.56,27.46,30.44,27.45,27.29,31.83,28.58,27.01,27.39,28.55,29.93,28.07,27.52,29.81,31.02,28.49,29.44,28.53,29.19,30.59,29.32,30.39,29.34,28.68,30.2,28.29,26.33,28.93,28.27,27.7,28.8,28.38,29.41,28.41,29.86,29.37,29.25,29.41,28.67,29.83,28.14,28.52,26.48,28.07,29.37,29.46,29.52,29.02,29.97,30.04,29.42,30.57,30.09,32.35,33.17,29.96629524230957,29.56641387939453,33.4034309387207,30.867252349853516,30.631589889526367,30.56026840209961,29.53129768371582
28.21,29.01,28.89,27.96,28.15,29.01,28.51,29.52,29.01,29.31,31.32,26.85,27.61,30.61,29.62,31.12,28.62,28.41,30.71,28.49,25.47,30.05,30.92,29.02,29.77,28.43,29.24,30.23,29.37,30.49,29.72,29.27,29.69,27.56,28.03,27.94,28.34,27.35,30.02,28.62,26.54,28.39,30.16,29.55,29.69,29.43,29.18,29.83,27.9,28.96,28.09,27.52,28.94,28.94,29.83,28.85,30.38,31.02,29.75,30.88,29.52,33.17,33.59,30.464933395385742,29.781618118286133,32.35572052001953,30.58957290649414,30.326784133911133,30.16420555114746,28.759801864624023
28.96,29.15,28.63,28.49,27.61,29.15,29.49,29.74,29.93,30.72,29.14,26.94,27.49,29.52,28.68,30.53,27.83,29.02,29.79,29.37,26.98,29.64,31.69,28.31,27.98,28.03,28.36,29.67,30.24,30.23,30.54,28.88,28.69,28.08,29.67,29.57,28.28,28.58,30.05,29.04,28.36,27.65,31.14,29.92,28.77,29.44,28.9,30.21,28.1,28.9,29.55,27.92,30.19,29.1,31.21,29.26,29.96,30.79,30.2,30.99,29.35,32.99,33.79,31.013294219970703,30.021339416503906,31.640859603881836,31.072616577148438,29.910350799560547,29.773862838745117,28.612403869628906
28.59,29.21,28.02,29.06,28.2,29.21,29.92,29.98,29.65,31.19,29.97,27.25,27.14,28.88,28.74,30.74,27.25,29.0,29.14,29.16,28.11,29.97,32.26,28.08,27.56,27.21,28.56,29.08,29.93,30.21,31.05,29.09,28.24,29.16,29.96,28.36,28.61,28.32,30.12,28.72,28.6,29.05,30.59,29.97,28.43,30.19,28.54,29.31,28.72,29.06,29.54,28.17,31.22,29.12,31.39,29.53,29.76,30.88,30.18,29.43,28.59,32.96,33.03,31.14954948425293,30.175811767578125,31.273319244384766,31.21556282043457,29.986024856567383,29.68872833251953,28.249217987060547
27.66,29.08,27.57,28.74,28.09,29.08,29.78,29.72,29.62,30.26,30.03,27.92,27.32,28.69,28.43,30.02,27.92,29.42,29.12,28.43,28.53,30.11,31.86,28.09,26.94,27.04,29.47,28.96,29.09,29.66,31.47,27.89,28.43,29.01,30.51,28.25,28.89,28.32,29.9,28.67,29.02,30.38,31.45,29.92,25.19,30.11,27.83,29.52,29.35,29.37,29.47,28.49,30.57,29.29,31.69,29.24,29.05,30.23,30.46,28.93,29.23,32.98,32.56,30.61260223388672,30.925403594970703,31.798913955688477,31.15595245361328,30.090782165527344,30.098100662231445,29.163293838500977
28.12,30.01,27.62,30.61,27.42,29.27,29.41,30.41,29.23,29.37,29.92,29.21,27.35,29.16,29.41,29.87,29.38,29.83,28.51,28.83,27.9,30.18,31.95,29.0,27.86,27.39,30.08,29.03,29.35,29.28,30.82,28.53,30.36,29.0,30.24,28.52,29.23,28.79,29.36,27.37,29.13,30.65,31.31,29.86,26.63,30.68,28.12,29.35,29.28,28.91,30.1,27.51,30.51,28.42,31.45,29.82,29.46,29.98,29.18,28.68,30.19,32.92,32.57,30.261228561401367,30.16568374633789,31.594635009765625,30.735979080200195,28.98451805114746,29.914031982421875,29.70006561279297
29.32,31.09,29.66,30.77,28.49,28.92,28.66,30.45,29.57,28.95,29.87,28.65,26.85,29.37,30.04,29.74,29.87,30.17,29.31,29.17,27.49,29.59,31.28,28.95,28.58,26.75,30.53,28.65,29.25,29.06,29.86,28.29,31.6,27.62,31.46,28.59,29.77,28.41,29.98,27.69,29.73,30.15,31.51,30.29,28.31,30.14,28.97,29.19,29.25,30.15,30.76,27.31,29.97,29.12,31.31,31.02,29.87,31.0,29.91,28.9,30.77,32.28,32.21,30.57478904724121,29.869604110717773,31.91360855102539,30.853164672851562,28.796573638916016,30.332748413085938,30.34998893737793
29.26,31.72,29.66,30.82,28.73,29.37,29.81,31.1,29.51,29.9,29.45,28.69,27.28,30.49,30.76,29.4,28.4,30.42,30.34,29.2,27.8,29.4,31.46,29.79,29.14,27.38,30.98,28.96,29.93,29.73,27.35,28.96,31.14,28.79,30.99,28.92,30.15,28.62,29.26,29.32,30.26,29.47,31.3,29.35,28.12,29.72,25.55,29.95,29.49,31.09,30.87,28.02,29.36,28.56,31.48,31.17,29.81,32.18,30.6,30.91,29.97,30.68,32.11,30.83904266357422,,32.12034606933594,30.942913055419922,30.570125579833984,30.531246185302734,29.27420997619629
