1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
16.06,15.53,14.05,11.29,10.87,15.53,15.94,15.85,14.26,16.58,19.49,12.24,11.84,15.47,16.34,12.64,15.03,14.61,18.89,14.11,12.35,14.11,15.8,14.61,13.66,16.34,15.16,17.15,18.43,16.7,16.68,14.84,15.62,17.87,19.62,15.31,13.37,15.25,16.47,19.41,19.5,16.82,14.56,16.49,13.28,16.68,13.78,18.19,14.44,15.76,19.36,14.96,16.79,16.11,17.8,14.25,15.68,18.18,15.08,17.67,15.45,17.81,18.57,15.810733795166016,19.915407180786133,16.3543643951416,16.409027099609375,15.25669002532959,11.550914764404297,18.529945373535156
14.73,15.53,13.73,12.04,11.09,15.53,15.32,16.71,14.0,16.99,20.4,12.7,12.41,16.55,17.06,15.62,14.82,13.89,18.2,13.45,12.73,13.88,15.75,14.74,13.82,15.64,15.91,17.85,17.02,16.98,15.55,14.52,15.67,17.77,18.65,14.76,12.75,15.92,16.45,19.87,17.56,15.19,15.02,16.3,13.67,16.58,13.4,18.23,13.81,15.8,19.28,14.61,16.67,15.9,19.73,14.09,15.74,17.56,16.19,16.54,15.03,17.97,18.93,15.088025093078613,19.098674774169922,16.107912063598633,16.00813865661621,15.785049438476562,11.846193313598633,19.186365127563477
13.6,15.54,14.69,12.79,11.3,15.54,15.71,17.38,14.31,16.38,20.29,11.5,12.73,16.97,19.07,16.6,15.0,15.04,18.51,13.97,14.24,14.17,16.7,14.96,15.42,14.88,14.61,17.31,16.7,16.85,15.54,14.92,15.71,18.45,18.1,14.5,13.53,14.6,16.61,18.01,14.42,13.96,15.14,16.13,14.29,16.31,13.08,18.83,13.14,15.74,19.11,13.42,19.24,15.15,20.05,13.94,15.06,16.44,16.03,14.99,15.64,18.03,18.84,14.633150100708008,19.823022842407227,15.965681076049805,16.478946685791016,16.850648880004883,13.386268615722656,19.44781494140625
14.5,15.45,15.66,14.15,11.39,15.45,15.24,16.87,14.76,17.44,19.48,11.41,14.36,17.03,19.07,17.43,15.43,16.54,18.19,14.27,13.24,13.53,16.1,14.3,15.34,14.65,14.5,17.93,16.51,17.29,15.44,14.99,13.9,17.46,16.78,14.73,14.19,16.05,16.37,17.61,13.43,12.62,14.81,15.78,14.89,17.2,14.0,19.28,13.32,14.57,18.07,13.84,18.35,14.98,18.05,13.52,14.02,14.11,15.11,14.93,16.75,17.73,19.23,14.819925308227539,19.42103385925293,15.87997817993164,15.054523468017578,15.682723045349121,13.35639476776123,18.77647590637207
15.36,15.46,15.77,16.69,11.52,15.46,15.83,16.24,16.34,18.66,18.33,10.44,13.99,17.0,19.94,17.33,13.72,17.14,17.23,15.18,14.12,13.14,16.23,12.78,14.13,14.52,13.35,17.89,16.98,17.5,16.36,14.45,14.32,17.43,16.91,13.61,13.65,15.18,16.69,16.83,16.32,11.61,15.35,15.83,15.8,17.06,15.35,16.94,14.5,14.21,16.98,16.3,17.45,14.96,16.33,13.52,14.09,14.46,15.47,14.97,15.1,17.4,18.69,15.581611633300781,18.247953414916992,16.919591903686523,14.463322639465332,14.730155944824219,14.836082458496094,18.21986198425293
14.8,15.79,16.63,18.05,13.73,15.79,16.48,17.01,16.68,19.05,19.0,11.45,13.36,16.52,19.59,17.89,13.14,16.47,16.99,15.52,13.78,13.34,17.28,12.47,12.27,13.91,13.45,18.37,17.4,18.06,16.53,15.46,13.65,17.62,16.96,13.38,14.93,15.89,16.37,15.97,18.79,10.53,15.15,16.03,17.86,17.12,15.2,15.97,14.42,15.34,16.03,18.64,17.49,16.02,17.34,14.85,16.18,14.49,15.88,16.49,12.11,17.56,18.76,15.595614433288574,17.32282066345215,17.2640380859375,14.64497184753418,14.079012870788574,15.498675346374512,18.308704376220703
12.9,15.64,17.04,18.34,12.71,15.64,16.27,16.62,16.31,16.99,17.63,11.39,15.52,15.38,18.19,17.12,15.1,16.62,17.12,16.16,14.29,14.18,16.46,13.99,11.86,14.19,13.51,18.38,16.75,17.97,16.01,15.86,13.77,17.7,17.6,13.78,15.75,15.34,16.29,15.82,18.86,10.52,15.36,16.0,17.97,17.0,14.14,15.6,16.12,13.92,14.99,17.95,16.26,16.28,17.54,14.85,16.6,15.48,16.14,14.46,10.88,16.57,18.65,16.761930465698242,15.993203163146973,16.65741539001465,15.842028617858887,14.176722526550293,15.25827407836914,19.65001678466797
14.72,17.5,17.38,15.4,14.12,15.77,15.28,15.74,15.58,17.36,16.75,12.51,16.09,15.22,18.1,17.14,16.94,15.92,16.01,15.57,14.05,14.5,16.95,14.28,11.59,13.5,14.45,18.27,16.67,18.43,15.55,15.2,13.43,17.65,19.2,14.53,15.8,15.71,16.11,17.79,18.37,10.85,14.97,15.6,19.52,16.6,14.71,15.83,15.7,14.28,15.11,17.79,16.42,14.8,17.52,16.6,15.91,15.28,17.04,16.01,11.75,17.3,18.67,15.69353199005127,16.730199813842773,15.753211975097656,17.04065704345703,14.420483589172363,15.013168334960938,19.128347396850586
14.93,17.33,18.49,17.48,15.15,16.73,16.11,15.74,15.81,17.35,15.52,14.06,16.8,15.43,19.04,17.28,19.28,15.92,15.98,15.12,14.58,14.61,17.28,14.13,12.84,13.45,14.82,17.51,15.9,17.35,16.41,15.95,13.73,17.59,19.24,14.44,17.24,15.06,16.01,17.18,17.33,11.69,15.5,15.72,18.71,16.91,16.58,16.15,15.88,15.37,15.78,17.55,17.41,14.0,16.86,17.74,15.93,14.56,17.05,18.55,12.23,16.9,18.24,16.14490509033203,14.820630073547363,15.325364112854004,17.323135375976562,14.905831336975098,13.262655258178711,18.73595428466797
13.66,17.71,17.06,18.55,17.6,17.13,17.0,15.47,15.3,17.71,15.45,15.05,18.27,15.58,18.76,17.4,20.28,16.55,16.35,16.58,15.8,13.82,16.98,14.21,13.83,14.18,14.94,18.22,15.77,16.59,16.94,16.21,14.93,15.92,18.18,15.89,19.19,15.49,15.54,16.97,16.4,12.58,15.11,16.09,17.18,17.48,17.11,16.28,15.25,15.97,16.9,16.9,17.66,12.72,15.97,17.31,15.59,15.04,17.46,19.35,11.39,16.94,17.28,16.620702743530273,11.983109474182129,14.760330200195312,17.48554801940918,15.363494873046875,13.165584564208984,18.722858428955078
